6,06000090,3.4,4.5,2.0,,,,8.0,6.5,7.25
6,06000091,1.6,4.25,,,,,1.25,3.0,
6,06000092,2.0,5.5,4.0,,,,5.75,5.25,7.0
6,06000093,3.8,2.5,1.6,,,,5.5,7.0,7.5
6,06000094,6.4,5.25,1.6,,,,4.5,4.25,6.25
6,06000095,2.4,4.5,3.6,,,,4.25,6.5,7.5
6,06000096,6.8,6.5,5.0,,,,7.25,6.0,8.0
6,06000097,6.6,6.5,4.2,,,,7.0,8.25,8.75
6,06000098,3.8,4.0,2.8,,,,5.5,4.25,5.5
6,06000099,4.4,3.25,3.2,,,,5.25,4.25,6.5
6,06000100,3.0,3.75,4.2,,,,3.5,3.0,3.0
6,06000101,4.6,4.25,2.8,,,,6.5,6.25,8.25
6,06000102,7.6,5.25,3.4,,,,5.5,7.75,8.0
6,06000103,5.2,5.5,3.0,,,,7.5,6.25,8.0
6,06000104,3.4,2.5,2.4,,,,4.75,4.25,3.25
6,06000105,5.2,5.5,5.6,,,,9.0,9.25,9.75
6,06000106,7.0,6.0,4.6,,,,7.75,8.5,9.25
6,06000107,4.6,6.0,4.8,,,,7.75,7.25,8.75
6,06000108,2.0,4.25,3.0,,,,6.0,6.0,7.5
6,06000109,5.0,6.75,2.6,,,,7.75,7.25,8.25
6,06000110,2.4,3.25,3.0,,,,4.75,4.0,3.25
6,06000111,2.8,5.5,2.0,,,,4.5,6.5,6.25
6,06000112,2.6,4.0,3.8,,,,2.75,4.5,6.0
6,06000113,6.0,6.0,3.6,,,,7.0,7.75,8.75
6,06000114,4.4,4.75,7.4,,,,7.5,7.5,7.5
6,06000115,,7.75,,,,,9.75,8.5,
6,06000116,6.6,7.25,5.8,,,,8.25,6.5,8.5
6,06000117,1.6,3.25,4.0,,,,5.25,7.0,8.5
6,06000118,6.6,5.0,6.6,,,,6.75,6.25,8.75
6,06000119,2.0,6.0,2.4,,,,4.25,5.75,7.5
6,06000120,2.4,2.75,,,,,3.25,5.0,
6,06000121,3.0,4.0,2.8,,,,6.5,5.75,7.75
6,06000122,4.2,5.5,3.0,,,,6.5,5.5,6.5
6,06000123,6.6,5.25,6.4,,,,5.5,7.0,8.25
6,06000124,3.4,5.0,4.0,,,,4.0,7.0,5.75
6,06000125,4.0,3.75,4.2,,,,5.5,8.25,7.5
6,06000127,4.8,6.0,5.6,,,,7.0,7.0,8.0
6,06000128,7.8,,,7.5,8.25,,,,
6,06000129,5.4,4.25,3.6,,,,7.5,6.75,8.25
6,06000130,5.2,4.5,,,,,5.75,6.5,
6,06000131,6.4,6.0,4.4,,,,7.25,5.25,7.75
6,06000132,6.0,7.0,4.8,,,,6.75,6.25,7.5
6,06000133,6.0,3.0,4.0,,,,5.5,4.75,6.75
6,06000134,5.4,7.25,4.8,,,,4.25,4.25,6.5
6,06000135,6.0,4.5,4.2,,,,6.75,6.5,8.25
6,06000136,5.6,3.75,4.6,,,,5.75,6.0,7.25
6,06000137,6.4,6.25,7.0,,,,7.5,8.25,8.5
6,06000138,7.0,7.0,2.2,,,,7.75,7.5,8.0
6,06000139,4.4,5.0,4.6,,,,5.75,6.5,6.75
6,06000140,7.2,6.75,6.8,,,,6.25,7.5,7.75
6,06000141,6.0,6.0,3.6,,,,5.75,7.0,7.5
6,06000142,7.4,5.75,3.0,,,,6.75,8.0,7.25
6,06000143,5.0,4.5,5.0,,,,6.5,5.75,6.0
6,06000144,6.2,3.5,1.0,,,,6.25,8.0,6.5
6,06000145,6.2,4.5,5.6,,,,4.25,6.0,4.5
6,06000146,5.6,2.5,5.0,,,,5.0,5.75,4.5
6,06000147,5.0,4.75,2.6,,,,6.75,6.5,6.5
6,06000148,6.2,5.25,4.6,,,,7.25,6.25,5.0
6,06000149,5.4,6.0,5.0,,,,8.0,7.0,8.5
6,06000150,,4.25,,,,,7.75,6.75,
6,06000151,4.0,3.75,4.6,,,,6.0,7.5,7.0
6,06000152,5.6,3.5,5.0,,,,4.5,5.5,4.5
6,06000153,5.6,3.0,4.6,,,,6.25,4.5,6.0
6,06000154,6.0,5.0,3.6,,,,7.75,6.75,7.75
6,06000155,7.2,6.75,5.6,,,,7.75,7.75,9.0
6,06000156,5.4,4.0,2.2,,,,3.75,4.5,6.5
6,06000157,5.0,6.75,1.2,,,,7.25,7.5,7.5
6,06000158,5.6,6.5,5.4,,,,7.5,6.75,7.5
6,06000159,4.6,3.5,,,,,5.5,5.5,
6,06000160,7.2,8.25,5.8,,,,8.25,8.0,8.0
6,06000161,5.2,6.5,3.8,,,,4.75,5.25,6.25
6,06000162,5.0,7.0,3.4,,,,5.25,6.5,8.5
6,06000163,5.6,5.75,5.4,,,,5.0,5.75,8.0
6,06000164,5.6,7.25,3.2,,,,5.5,6.0,7.25
6,06000165,2.8,6.0,,,,,5.25,5.5,
6,06000166,4.6,5.5,,,,,7.75,8.0,
6,06000167,6.0,4.5,4.6,,,,5.25,5.25,7.0
6,06000168,6.2,6.5,5.4,,,,8.0,7.0,9.0
6,06000169,,3.75,,,,,7.75,6.75,
6,06000170,5.8,4.75,4.2,,,,7.0,7.5,7.5
6,06000171,5.2,6.5,3.8,,,,7.25,6.25,8.25
6,06000172,6.6,6.0,4.4,,,,7.0,7.5,8.0
6,06000173,2.2,5.0,3.2,,,,7.25,8.75,7.75
6,06000174,4.4,5.5,3.0,,,,5.5,5.75,7.0
6,06000175,3.8,4.5,2.8,,,,4.0,5.5,6.25
6,06000176,4.4,4.25,2.6,,,,3.0,5.75,5.75
6,06000177,4.8,6.25,2.6,,,,6.0,6.5,6.5
6,06000178,4.4,6.0,3.2,,,,5.0,4.5,6.0
6,06000179,4.4,5.5,2.4,,,,3.75,5.75,7.25
6,06000180,6.0,5.0,2.8,,,,8.25,7.5,7.0
